id,parentId,videoId,channelId,channelName,channelThumb,commentDate,commentText,likes,isReply,replyCount,tags
UgwgPfE79HHWd-0w7dl4AaABAg,,OTYP896o9m0,UCtgzaX6rGV3gG1szmwZGlEg,@MichaelDomer,https://yt3.ggpht.com/ytc/AIdro_lPAu5LcUW1h_9K92DDPIFAt7oKeKn1gaScOAfzdeLy0FyHMrhcwYmEo-u21qNz3kJRkA=s48-c-k-c0x00ffffff-no-rj,2024-04-20T17:10:30,"<b><i>&quot;AI Just Took an INSANE Leap Forward!&quot;</i></b><br>Internet access of Llama 3 is horrible, clearly crippled on purpose by Meta, Copilot scores way better in that.",0,false,0,
UgwWFsF2iONylJcRsVl4AaABAg,,OTYP896o9m0,UCiMJgcoQzagajUTiUQe3cQw,@sanderschat,https://yt3.ggpht.com/K2UTCvgvBVthAJ2p95Bi-KwldI_BUMmtw9IBdlwlc9IMjzwqINjthKxz_qT2VD602i0FnuJn5Q=s48-c-k-c0x00ffffff-no-rj,2024-04-20T15:08:44,"So, in this new world... <br>a user is using AI to let them write a text, tweet or whatever... and why is this user doing that? To present themselves slightly beter via AI then as they would be able to do themselves. <br><br>Then, this fake impression of that user is communicated via some platform, <br>another user reacts to it by generating a response to it, using AI. To boost up some inspirational level or some sort of reason.<br><br>When we are all using AI... what a fake carnaval of human interaction it will be he? <br><br>Man, feeling of loneliness will be skyrocketing, i guess in the next decade. <br>Maybe AI has a solution for that as well?",1,false,0,
Ugx8Z9Ulljb75FJN1EB4AaABAg.A2Qa96CJc5mA2Ry0QvSDYQ,Ugx8Z9Ulljb75FJN1EB4AaABAg,OTYP896o9m0,UCHhYXsLBEVVnbvsq57n1MTQ,@aiadvantage,https://yt3.ggpht.com/YOkmsQf2AKTYGDXWkb12vUVtdfMoljLy57QtfidJ7Fz0TQuN5XCDiXzR261K2dmKVOL8dwg9Bjo=s48-c-k-c0x00ffffff-no-rj,2024-04-20T15:02:33,that was their demo prompt they used to show off what the model can do,0,true,,
UgwC08X1yf36WnUqlCZ4AaABAg,,OTYP896o9m0,UCMa0sXKN0r2d62yqCpkb_Qg,@uberpixzels,https://yt3.ggpht.com/ytc/AIdro_kUH8J352ZvhUKKLbf7lRN-2fXd45regUQsWnip7Gc=s48-c-k-c0x00ffffff-no-rj,2024-04-20T13:30:39,The Llama 3 models are not open source.  The source code for their training is closed source.  The model weights are provided with a fairly permissive license.,1,false,0,
Ugxpv5FpGLXWTaHryTp4AaABAg,,OTYP896o9m0,UCNRbsCmMD5VMwgkUsxNdxHQ,@findmeinthecarpet,https://yt3.ggpht.com/ytc/AIdro_lA7jr0LZvBQFLmBc7jijnVjyoazsJEdCveoYk4bFvSLqy3mJRIVzhAwp7IKIkTOUTl9A=s48-c-k-c0x00ffffff-no-rj,2024-04-20T13:28:32,Europe is going to start falling behind soon if they keep up with the censorship. 🐌🐌🐌,0,false,0,
UgyLaAK5AxDa8LUs2dt4AaABAg.A2R1Iz2U83eA2Rldyo7QWN,UgyLaAK5AxDa8LUs2dt4AaABAg,OTYP896o9m0,UC9fmryROT_7QvTzghfiNtWg,@Gatrehs,https://yt3.ggpht.com/ytc/AIdro_kKsc5oshsPBShgXg7ep4IDu95CagXJ8zySlMdlL5w=s48-c-k-c0x00ffffff-no-rj,2024-04-20T13:14:29,"What, specifically, would you need it to do what a regular application like YNAB can&#39;t do?",0,true,,
Ugymn77QAbxaSaJclD54AaABAg,,OTYP896o9m0,UCvubIx2RA4H8IGjHU5SGYtg,@andrewvideos3404,https://yt3.ggpht.com/ytc/AIdro_n-bMtzXWhJDn083dN3OpgaZ2BRyK0flg2u0_6QhCTEww=s48-c-k-c0x00ffffff-no-rj,2024-04-20T12:17:56,"Yea, charging that much is kinda cringe, ngl",0,false,0,
Ugx_SAkDAHinRMwFqpJ4AaABAg,,OTYP896o9m0,UCIHuTk4BGYh2xFEFt2B54BQ,@GenAIAvenue,https://yt3.ggpht.com/V3g_g1X9Mwgtxz8h9_eH3Gba0IUoIDM88yEAuP7fcpaCkhsGT2KfhU1FYXb_wPW8Yafg8ItR=s48-c-k-c0x00ffffff-no-rj,2024-04-20T12:04:30,Love these technological advances!,0,false,0,
UgyxE6gGK4sw_OknJ3x4AaABAg,,OTYP896o9m0,UCN1HUiG-0B-zNgzPbelXs9g,@CM-zl2jw,https://yt3.ggpht.com/ytc/AIdro_nI-xXOI6P_-yccEL3d2MIEKWwjZfiHAGp6TEH0ifreKQk=s48-c-k-c0x00ffffff-no-rj,2024-04-20T11:35:39,Thanks Igor.  Lots of fun possibilities just not enough time.  😢.    Maybe I’ll create a stand up routine…. Laughter is the best medicine!💊 <br><br>Congrats on opening up the community.  I wish you all the success in the world! 🎉   You are my AI Advantage.  Thank you for sharing your knowledge.,0,false,0,
Ugz-PvQyu-WNx8FRoT54AaABAg,,OTYP896o9m0,UCQcUYGEuxYPlkR0GZ8EiXgA,@seventyfive7597,https://yt3.ggpht.com/ytc/AIdro_m98WbILG_nYilPK0OeGpLxPsC-zR57i1Hg3Y2FKjY=s48-c-k-c0x00ffffff-no-rj,2024-04-20T10:39:26,"Correction: calling an open weights model &quot;open source&quot; is like calling MS word open because you can download it.  OW is more like a closed code binary library as they don&#39;t supply the process and code, open source should be at least like Grok 1.0, actually even more open.  So Llama and Mixtral are actually the evil side of sourcing, claiming openness to avoid regulations and fool the public, but the only diff vs GPT, is that its downloadable.",0,false,0,
